Hospital Name,Dealer Name,Equipment,Medicine,Expiration Date,Purchase Date,Purchase Quantity,Selling Date,Selling Quantity,Stock Quantity
City Hospital,MedSupply Co.,MRI Machine,Paracetamol,8/1/2025,1/15/2023,50,2/10/2023,20,30
City Hospital,HealthEquip Inc.,CT Scanner,Lisinopril,5/15/2024,3/22/2023,30,4/12/2023,15,15
General Hospital,MedSupply Co.,X-Ray Machine,Aspirin,11/30/2026,5/10/2023,20,6/5/2023,10,10
General Hospital,HealthEquip Inc.,Ultrasound Machine,Amoxicillin,9/20/2024,7/15/2023,40,8/1/2023,20,20
County Hospital,PharmaDeals LLC,Defibrillator,Ibuprofen,3/15/2025,9/1/2023,25,9/20/2023,15,10
County Hospital,PharmaDeals LLC,Patient Monitor,Metformin,12/31/2026,10/10/2023,35,11/15/2023,25,10
Central Hospital,MedSupply Co.,Surgical Table,Simvastatin,5/30/2026,11/5/2023,15,12/1/2023,5,10
Central Hospital,HealthEquip Inc.,Anesthesia Machine,Omeprazole,6/15/2025,12/12/2023,10,1/10/2024,7,3
City Hospital,PharmaDeals LLC,Defibrillator,Azithromycin,2/28/2025,1/20/2023,40,2/15/2023,10,30
City Hospital,HealthEquip Inc.,Surgical Table,Ibuprofen,12/31/2024,3/10/2023,60,4/15/2023,25,35
General Hospital,MedSupply Co.,CT Scanner,Lisinopril,9/15/2025,5/5/2023,50,6/10/2023,30,20
General Hospital,HealthEquip Inc.,MRI Machine,Metformin,1/30/2026,7/20/2023,30,8/10/2023,15,15
County Hospital,MedSupply Co.,Ultrasound Machine,Aspirin,7/1/2025,9/5/2023,45,10/10/2023,25,20
County Hospital,PharmaDeals LLC,Patient Monitor,Omeprazole,11/20/2024,10/15/2023,20,11/20/2023,10,10
Central Hospital,HealthEquip Inc.,Anesthesia Machine,Simvastatin,3/30/2026,11/10/2023,10,12/15/2023,5,5
Central Hospital,MedSupply Co.,X-Ray Machine,Paracetamol,5/1/2025,12/5/2023,35,1/5/2024,20,15
City Hospital,MedSupply Co.,Defibrillator,Amoxicillin,3/1/2025,1/25/2023,50,2/20/2023,30,20
City Hospital,HealthEquip Inc.,MRI Machine,Ibuprofen,1/15/2026,3/25/2023,60,4/30/2023,40,20
General Hospital,PharmaDeals LLC,Surgical Table,Lisinopril,8/1/2024,5/15/2023,30,6/20/2023,20,10
General Hospital,HealthEquip Inc.,CT Scanner,Azithromycin,10/15/2025,7/25/2023,20,8/15/2023,15,5
County Hospital,MedSupply Co.,Ultrasound Machine,Metformin,12/30/2024,9/10/2023,25,10/25/2023,10,15
County Hospital,PharmaDeals LLC,Defibrillator,Simvastatin,2/28/2026,10/5/2023,40,11/30/2023,20,20
Central Hospital,HealthEquip Inc.,Patient Monitor,Omeprazole,11/20/2025,11/15/2023,35,12/10/2023,30,5
Central Hospital,MedSupply Co.,Anesthesia Machine,Paracetamol,7/1/2026,12/10/2023,20,1/15/2024,5,15
City Hospital,PharmaDeals LLC,CT Scanner,Aspirin,9/5/2025,1/30/2023,60,2/25/2023,25,35
City Hospital,HealthEquip Inc.,Ultrasound Machine,Lisinopril,6/15/2024,3/15/2023,40,4/22/2023,20,20
General Hospital,MedSupply Co.,MRI Machine,Ibuprofen,12/31/2026,5/20/2023,50,6/15/2023,20,30
General Hospital,PharmaDeals LLC,Surgical Table,Omeprazole,3/10/2025,7/30/2023,25,8/25/2023,15,10
County Hospital,HealthEquip Inc.,Patient Monitor,Aspirin,11/5/2024,9/25/2023,35,10/20/2023,25,10
County Hospital,MedSupply Co.,Anesthesia Machine,Metformin,10/30/2025,10/30/2023,20,11/25/2023,5,15
Central Hospital,PharmaDeals LLC,Defibrillator,Azithromycin,6/1/2025,11/20/2023,45,12/5/2023,30,15
Central Hospital,HealthEquip Inc.,Surgical Table,Simvastatin,5/20/2024,12/15/2023,15,1/5/2024,5,10
City Hospital,MedSupply Co.,MRI Machine,Paracetamol,8/1/2025,1/15/2023,50,2/10/2023,20,30
General Hospital,HealthEquip Inc.,CT Scanner,Lisinopril,5/15/2024,3/22/2023,30,4/12/2023,15,15
County Hospital,PharmaDeals LLC,Defibrillator,Ibuprofen,3/15/2025,9/1/2023,25,9/20/2023,15,10
Central Hospital,MedSupply Co.,Surgical Table,Omeprazole,6/15/2025,12/12/2023,10,1/10/2024,7,3
